email,phone_number,age,age_group,credit_score,family_background,income,intent,comments
johnsonjoshua@example.org,+91 8374692674,43,36-45,450,Married with Children,831694.93,Low,Product looks good but need to understand implementation process
jillrhodes@example.net,+91 7809263824,40,36-45,702,Married with Children,746264.62,Low,Product looks good but need to understand implementation process
garzaanthony@example.org,+91 6941367203,29,26-35,605,Single,699893.87,Low,"Price is a major concern, looking for budget-friendly options"
jesseguzman@example.net,+91 7376874147,34,26-35,450,Single,418891.42,Low,Need to understand if this is really necessary for us
jennifermiles@example.com,+91 9207220496,52,46-55,725,Single Parent,1001723.23,High,"Attended your webinar, convinced about the value proposition"
shaneramirez@example.org,+91 9520242049,32,26-35,649,Single,850845.01,Low,Impressed by features but implementation seems complex
helenpeterson@example.org,+91 8603346636,31,26-35,685,Married with Children,1304147.34,Low,Need to focus on core business first before expanding
susanrogers@example.org,+91 7968600883,28,26-35,653,Single,692511.86,Low,Impressed by features but implementation seems complex
wdavis@example.net,+91 7757830093,32,26-35,684,Married,760204.79,Low,"Just browsing for now, collecting information for future"
lindsay78@example.org,+91 6214956367,31,26-35,804,Single,788786.22,Low,Economic uncertainty makes us cautious about new purchases
smiller@example.net,+91 9085233292,49,46-55,702,Married with Children,1242786.45,Low,Need references from similar companies in our industry
barbara10@example.net,+91 6816926983,37,36-45,818,Divorced,1491200.51,High,"Need urgent solution for my project, can we fast-track this?"
kendragalloway@example.org,+91 6822237570,36,36-45,450,Married,2165918.99,High,"Had a great experience with your competitor, want to switch"
jamesshawn@example.com,+91 8830304377,46,46-55,763,Married with Children,2093267.93,High,"Had a great experience with your competitor, want to switch"
mitchellclark@example.com,+91 7552571400,28,26-35,620,Married,1295225.79,High,Comparing different premium options but leaning towards your product
lynchgeorge@example.net,+91 9042034602,34,26-35,686,Single,956616.81,Low,"Part of market research, not actively buying"
frankgray@example.net,+91 9561919070,23,18-25,664,Single,390393.56,Low,Product looks good but need to understand implementation process
gabriellecameron@example.org,+91 8833072611,41,36-45,743,Married with Children,1026982.4,High,"Looking for long-term partnership, not just one-time purchase"
lydiatrujillo@example.com,+91 7039554074,30,26-35,700,Married,1379274.4,Low,Economic uncertainty makes us cautious about new purchases
carl95@example.org,+91 6192072969,22,18-25,577,Single,470418.8,Low,Product looks good but need to understand implementation process
pfoster@example.com,+91 6158740645,48,46-55,762,Married with Children,1662296.89,High,"Need urgent solution for my project, can we fast-track this?"
josephwright@example.net,+91 9046995431,35,26-35,796,Married,991587.88,High,"Willing to pay for quality service, budget is not a constraint"
julie69@example.com,+91 9761037120,38,36-45,737,Single Parent,1044992.29,Low,"Student/researcher, mainly interested in learning"
jeffrey28@example.com,+91 8121260979,47,46-55,820,Married with Children,1985846.52,High,"Budget approved by management, ready to proceed"
camposmichelle@example.org,+91 6738483948,38,36-45,765,Divorced,870957.03,High,Comparing different premium options but leaning towards your product
laurahenderson@example.org,+91 9066828003,51,46-55,710,Married with Children,1070965.09,High,Ready to make a purchase decision within this week
djames@example.net,+91 9863294428,40,36-45,693,Single Parent,1219907.47,High,"Need urgent solution for my project, can we fast-track this?"
tasha01@example.net,+91 6189905679,35,26-35,683,Single,694554.33,Low,"Small business, concerned about ongoing costs"
kayla51@example.com,+91 6530683352,51,46-55,683,Single Parent,754428.16,Low,"Timeline is flexible, but quality is most important factor"
amoore@example.net,+91 7378602808,61,56-65,739,Married,2167121.09,High,"ROI calculations look promising, let's move forward"
teresa28@example.org,+91 6544322381,26,26-35,741,Married,935994.98,Low,"Student/researcher, mainly interested in learning"
meagan89@example.org,+91 7757479397,27,26-35,750,Single,573393.32,Low,"Current solution works fine, just checking alternatives"
nathanielmartin@example.net,+91 6043251248,43,36-45,702,Single Parent,966476.79,High,"ROI calculations look promising, let's move forward"
georgetracy@example.org,+91 6498500182,22,18-25,601,Single,729645.09,High,"Had a great experience with your competitor, want to switch"
natasha43@example.org,+91 8464449920,34,26-35,636,Single,1043608.41,High,"Attended your webinar, convinced about the value proposition"
nataliearroyo@example.org,+91 8769915521,61,56-65,754,Single,581781.38,High,"ROI calculations look promising, let's move forward"
wcabrera@example.net,+91 8644126515,37,36-45,733,Married with Children,1586200.35,High,"Attended your webinar, convinced about the value proposition"
davidalvarez@example.net,+91 7692043970,39,36-45,820,Married with Children,2660464.5,High,"Budget approved by management, ready to proceed"
josephbrennan@example.com,+91 8286657373,28,26-35,704,Married with Children,1160111.59,High,Looking for high-quality solutions for my business needs
sarahcampos@example.net,+91 9954504891,19,18-25,642,Single,300000.0,Low,"Heard about your company, wanted to check what you offer"
jenniferross@example.net,+91 9093070237,45,36-45,707,Single Parent,945016.64,Low,"Not ready to make a decision, still in research phase"
samuel87@example.org,+91 8619522864,32,26-35,667,Single,455466.82,Low,"Current solution works fine, just checking alternatives"
jeffreymorgan@example.net,+91 6383928135,43,36-45,699,Married with Children,1837627.91,High,"Budget approved by management, ready to proceed"
briannasmith@example.net,+91 9548045455,29,26-35,608,Married with Children,596011.66,Low,"Too many features, looking for something simpler"
perezrebecca@example.com,+91 8227437513,69,65+,820,Married,1914346.04,High,"Budget approved by management, ready to proceed"
palmerjoshua@example.com,+91 9924595323,36,36-45,776,Married with Children,2120315.59,High,Expansion plans require robust solution like yours
ambercummings@example.net,+91 8320517946,37,36-45,820,Married with Children,2323551.4,High,"Impressed with your product features, let's discuss pricing"
esanchez@example.com,+91 7620414781,28,26-35,662,Married with Children,1432507.45,High,"Budget approved by management, ready to proceed"
clintonhopkins@example.com,+91 6424442938,64,56-65,788,Divorced,991343.52,High,"ROI calculations look promising, let's move forward"
ujenkins@example.org,+91 8080061477,38,36-45,749,Married with Children,1378975.26,High,"Willing to pay for quality service, budget is not a constraint"
brownjessica@example.org,+91 8036358046,21,18-25,636,Single,668900.46,Low,"Looking for basic options only, nothing too complex"
jamesherrera@example.org,+91 6737743122,45,36-45,792,Married with Children,1404478.07,High,"Had a great experience with your competitor, want to switch"
dwhite@example.org,+91 7769971807,59,56-65,754,Single,1484838.93,High,Expansion plans require robust solution like yours
ramosmichelle@example.net,+91 9856044935,46,46-55,796,Single Parent,1087208.49,High,"My colleague recommended your service, very interested"
williamsyvette@example.org,+91 6893849823,41,36-45,726,Married with Children,1406967.34,High,Ready to make a purchase decision within this week
housemelinda@example.org,+91 7786354700,51,46-55,820,Married with Children,1331292.61,High,"My colleague recommended your service, very interested"
ntucker@example.com,+91 6355706062,28,26-35,595,Single,658839.61,Low,"Just browsing for now, collecting information for future"
martinaaron@example.com,+91 7211501523,32,26-35,769,Married with Children,972768.3,High,"Attended your webinar, convinced about the value proposition"
sara74@example.com,+91 6661670862,33,26-35,719,Single,921533.54,Low,Comparing features and prices with 2-3 other vendors
smoore@example.org,+91 7733454616,36,36-45,638,Married with Children,772533.76,Low,Need references from similar companies in our industry
rileyamy@example.net,+91 7104391266,30,26-35,734,Single,900876.94,High,"Attended your webinar, convinced about the value proposition"
brian97@example.net,+91 9097601208,44,36-45,703,Married with Children,995925.03,High,"Looking for long-term partnership, not just one-time purchase"
brianromero@example.org,+91 6164514938,26,26-35,656,Married,985099.84,Low,"Currently happy with existing solution, just exploring"
